Header,Emoji,Description,Requirements,Tasks,Pluses,Hashtags,Link,Raw text
Interface Developer at Yandex.Direct,🐠,The main goal of the Yandex.Direct interface is to allow advertisers to easily create effective advertising and manage it transparently.,"• knowledge of React/Redux, TS, GraphQL
• broad knowledge (you will have the opportunity to solve infrastructure tasks: builds, releases, automated tests, automation)","• develop new features
• design service architecture
• develop technologies in services
• participate in development as an expert",• experience with Node.js,React frontend,https://ya.cc/t/m-FmrLKwDBpcK,"Interface Developer at Yandex.Direct 🐠

The main goal of Yandex.Direct's interface is to enable advertisers to easily create effective ads and manage them transparently.

We expect you to have:
• Knowledge of React/Redux, TS, and GraphQL
• A broad understanding of the subject (you will have the ability to solve infrastructure problems: builds, releases, automated tests, automation)

What you'll need to do:
• Develop new features
• Design service architecture
• Develop technologies within services
• Participate in development as an expert

It would be a plus if you:
• Experience with Node.js

https://ya.cc/t/m-FmrLKwDBpcK

#frontend #react"
Senior Developer of Yandex Mobile Ads SDK for iOS (Minsk),📱,"You will be developing the Mobile Ads SDK, a product integrated into over two thousand mobile apps and helping them monetize.","• knowledge of Objective-C and Swift
• experience developing native iOS applications
• experience with multithreaded development","• Develop new solutions for mobile app advertising
• Debug SDK functionality in partner apps
• Analyze statistical data
• Research developments and protocols available on the market
• Automate development and testing processes","• developed libraries
• know Java, Kotlin, and Python
• have worked with or want to work with other languages ​​and technologies (JavaScript, TypeScript, C++)",mobile iOS,https://ya.cc/t/fO-nppsmDJDau,"Yandex Mobile Ads SDK Senior Developer for iOS (Minsk) 📱

You will develop the Mobile Ads SDK. This product is integrated into over two thousand mobile apps and helps them monetize.

We expect you to:
• Knowledge of Objective-C and Swift
• Experience developing native iOS apps
• Experience with multithreaded development

What you'll be doing:
• Develop new mobile app advertising solutions
• Debug SDK functionality in partner apps
• Analyze statistical data
• Research developments and protocols on the market
• Automate development and testing processes

It would be a plus if you:
• Have developed libraries
• Know Java, Kotlin, and Python
• Have worked with or are interested in working with other languages ​​and technologies (JavaScript, TypeScript, C++)

https://ya.cc/t/fO-nppsmDJDau

#mobile #iOS"
AppMetrica SDK Developer for iOS (Minsk),🦸,"We're creating an SDK for collecting mobile device usage statistics. The product is integrated into thousands of apps on millions of smartphones. New developers will have a variety of responsibilities, from writing libraries and server APIs to working with a database containing billions of records.","• Knowledge of Objective-C
• Experience developing native iOS applications
• Multithreaded and network programming skills","• Develop new features for AppMetrica
• Develop tests and test the product before each release
• Help analyze SDK performance and fix integration issues","• experience developing public APIs and libraries
• experience with functional and automated testing of mobile applications
• experience working with analytics systems, crash collection systems, tracking systems, and advertising tools
• knowledge of C++
• knowledge of Mac OS and Linux
• experience working with databases
• experience writing unit tests",mobile iOS,https://ya.cc/t/mFSnhu4kDJDeV,"AppMetrica SDK Developer for iOS (Minsk) 🦸

‍♂️We are creating an SDK for collecting mobile device usage statistics. The product is integrated into thousands of apps on millions of smartphones. A new developer will have a variety of tasks, from writing libraries and server APIs to working with a database containing billions of records.

We expect you to have:
• Knowledge of Objective-C
• Experience developing native iOS apps
• Multithreaded and network programming skills

What you'll need to do:
• Develop new features for AppMetrica
• Develop tests and test the product before each release
• Help analyze SDK performance and fix integration issues

It would be a plus if you:
• Experience developing public APIs and libraries
• Experience with functional and automated testing of mobile apps
• Experience working with analytics systems, crash collection systems, tracking systems, and advertising tools
• Knowledge of C++
• Knowledge of Mac OS and Linux
• Experience working with databases
• Experience writing unit tests

https://ya.cc/t/mFSnhu4kDJDeV

#mobile #iOS"
Developer in a single data warehouse,🐰,"Yandex represents a vast amount of information, network traffic, and various data processing patterns. One of our core infrastructure services is the unified data storage (MDS). All of our data-storage services are built on MDS: Disk, Mail, Video, Maps, and many others. Join our team and work on a system that processes hundreds of thousands of requests per second, stores exabytes of data, and distributes hundreds of gigabits of traffic across multiple data centers.","• Excellent knowledge of Go/Python/C++
• Experience developing network, multithreaded, and asynchronous applications","• Develop a data storage orchestration and management service
• Ensure minimal response times, fault tolerance, and data delivery to end users
• Develop a storage API and provide convenient migration procedures to our service
• Scale the stateful service to 100,000 hosts","• worked with distributed systems and high-load services
• have experience distributing traffic of hundreds of gigabits
• understand Linux and Unix",CPP Python,https://ya.cc/t/7Pzt9tOhDQTBz,"Developer for a Unified Data Storage System🐰

Yandex represents a vast amount of information, network traffic, and various data processing patterns. One of its core infrastructure services is its unified data storage system (MDS). All of our services that require data storage are built on MDS: Disk, Mail, Video, Maps, and many others. On our team, you'll have the opportunity to work on a system that processes hundreds of thousands of requests per second, stores exabytes of data, and distributes hundreds of gigabits of traffic across multiple data centers.

We expect you to have:
• Excellent knowledge of Go/Python/C++
• Experience developing network, multithreaded, and asynchronous applications

What you need to do:
• Develop a data storage orchestration and management service
• Ensure minimal response times, fault tolerance, and data delivery to end users
• Develop a storage API and provide convenient migration procedures to our service
• Scale a stateful service to 100,000 hosts

It would be a plus if you:
• Have worked with distributed systems and high-load services
• Have experience distributing traffic of hundreds of gigabits
• Understand Linux and Unix

https://ya.cc/t/7Pzt9tOhDQTBz

#CPP #python"
Interface Developer in Video,🎥,"Yandex.Video is one of the largest video services in the CIS, used by millions of people. At Yandex.Video, we index high-quality content from hundreds of sources, work with dozens of players, and personalize content. As part of our team, you'll have the opportunity to work on various aspects of the product: design, development, testing, analytics, release cycle, and infrastructure. The results of your work will be seen by millions of people and used by other Yandex services.","• Strong command of JS, HTML, and CSS
• Experience developing with TS, React, and Redux
• Experience working with Node.js and ES6
• Skills with Git and Webpack","• Design the service architecture and help the team implement it
• Improve the quality and speed of search interfaces
• Conduct interviews, hire developers, and participate in their development","• familiar with Unix systems
• have some understanding of the BEM methodology
• have written unit or integration tests",frontend JS,https://ya.cc/t/ICqrPrnGDUuY9,"Interface Developer at Video🎥

Yandex.Video is one of the largest video services in the CIS, used by millions of people. At Yandex.Video, we index high-quality content from hundreds of sources, work with dozens of players, and are skilled at personalizing content. As part of our team, you'll have the opportunity to work on various aspects of the product: design, development, testing, analytics, release cycle, and infrastructure. The results of your work will be seen by millions of people and used by other Yandex services.

We expect you to have:
• Proficient knowledge of JS, HTML, and CSS
• Experience developing with TS, React, and Redux
• Experience with Node.js, ES6
• Proficiency with Git and Webpack

What you'll be doing:
• Design the service architecture and help the team implement it
• Improve the quality and speed of search interfaces
• Conduct interviews, hire developers, and participate in their development

It would be a plus if you:
• Are familiar with Unix systems
• Have some understanding of the BEM methodology
• Have written unit or integration tests

https://ya.cc/t/ICqrPrnGDUuY9

#frontend #JS"
Java developer at Yandex.Direct,🤖,"Every day, tens of thousands of advertisers and agencies work within the Yandex.Direct interface, optimizing advertising campaigns and analyzing their effectiveness using statistics. A reliable cloud architecture distributed across multiple data centers allows the system to operate reliably and continuously. This team's tasks primarily focus on the Yandex.Direct server side.","• ability to write working, maintainable, and testable code, as well as the ability to understand other people's code
• knowledge of classical algorithms and data structures","• process huge volumes of data and ensure its synchronization with other components
• design fault-tolerant systems using the full power of Yandex technologies","• designed, developed, and maintained high-load distributed services
• knowledge of Java 1.8+ and major libraries (Spring, Guava, Jackson, Mockito)",java,https://ya.cc/t/wm_2gmR-DBpZv,"Java Developer at Yandex.Direct 🤖

Every day, tens of thousands of advertisers and agencies work in Yandex.Direct's interface, optimizing advertising campaigns and analyzing their effectiveness using statistics. A reliable cloud architecture distributed across multiple data centers allows the system to operate stably and continuously. This team primarily works with Yandex.Direct's server side.

We expect you to:
• be able to write working, maintainable, and testable code, as well as understand other people's code
• have knowledge of classical algorithms and data structures

What you'll need to do:
• process huge volumes of data, ensuring its synchronization with other components
• design fault-tolerant systems using the full power of Yandex technologies

It will be a plus if you:
• have designed, developed, and maintained high-load distributed services
• have knowledge of Java 1.8+ and major libraries (Spring, Guava, Jackson, Mockito)

https://ya.cc/t/wm_2gmR-DBpZv

#java"
Java Developer in Media Services Billing,🖥,"Our team is developing a backend for managing virtually everything related to Yandex.Plus subscriptions. We're exploring ways to reengage users who've unsubscribed, providing payment reminders to ensure taxi savings are not lost, and ensuring your favorite TV shows and music are available 24/7. We also have integrations with mobile operators and our own bank card.","• Strong knowledge of Java
• Experience with multithreaded or asynchronous programming","• Develop high-level payment scenarios and APIs for internal consumers
• Conduct architectural and code reviews
• Monitor the service status and respond quickly if something goes wrong","knowledge of Python, Unix, HTTP stack, non-relational and relational DBMS.",senior Java backend,https://ya.cc/t/KHlWjx-ADidTc,"Java Developer for Media Services Billing 🖥

Our team develops a backend for managing virtually everything related to Yandex.Plus subscriptions. We're thinking about ways to re-engage users if they've unsubscribed, providing payment reminders to ensure taxi savings are not lost, and ensuring their favorite TV series and music are available 24/7. We also have integrations with mobile operators and our own bank card.

We expect you to have:
• Strong knowledge of Java
• Experience with multithreaded or asynchronous programming

What you'll need to do:
• Develop high-level payment scenarios and APIs for internal customers
• Conduct architectural and code reviews
• Monitor service status and respond quickly if something goes wrong

It would be a plus if you:
Knowledge of Python, Unix, the HTTP stack, and non-relational and relational DBMSs.

https://ya.cc/t/KHlWjx-ADidTc

#backend #java #senior"
Python developer at Yandex.Q,👨,"‍

This position is for Pythonists and those ready to switch to Python from another programming language. Yandex.Q is a knowledge-sharing platform: millions of users create communities of interest, ask questions, and receive answers. The service is built on the foundation of TheQuestion and Yandex.Experts projects.

Q is considered part of Yandex's search portal, so you'll be able to use cutting-edge search technologies, run experiments on search computing power, and test hypotheses on vast amounts of data. You'll also have the opportunity to propose your ideas and influence the future of the service.","• know Python well and have worked with it (or know C++, Java, Go or C# and are ready to switch to Python)","• Design the service architecture and optimize the code
• Develop a high-load service
• Improve the stability and speed of the service","• experience in developing and designing high-load systems
• knowledge of SQL
• skills in working with relational databases",Python Q backend,https://ya.cc/t/fnaV-nKyDkX69,"Python Developer at Yandex.Q 👨

‍

This position is for Pythonists and those ready to switch to Python from another programming language. Yandex.Q is a knowledge-sharing platform: millions of users create communities of interest, ask questions, and receive answers. The service is built on the foundation of TheQuestion and Yandex.Znatoki projects.

Q is considered part of Yandex's search portal, so you'll be able to use cutting-edge search technologies, run experiments on search computing power, and test hypotheses on vast amounts of data. You'll also have the opportunity to propose your ideas and influence the future of the service.

We expect you to:
• have a good knowledge of Python and have worked with it (or know C++, Java, Go, or C# and are ready to switch to Python)

What you need to do:
• think through the service architecture and optimize code
• develop a high-load service
• improve service stability and speed

It will be a plus if you:
• experience developing and designing high-load systems
• knowledge of SQL
• skills in working with relational databases

https://ya.cc/t/fnaV-nKyDkX69

#backend #python #q"
Object Search Developer,🎞,"

Another opening in the Ontology Department. This team will focus on automated data collection and building a database of real-world objects: books, people, movies, music, etc. You'll be tasked with a variety of tasks, from connecting new data sources to our database to establishing correct relationships between objects and improving data quality.",• know Python and C++,"• improve the infrastructure for building the object database
• improve data quality
• supplement data to create new opportunities for using the object response in various search scenarios",• experience in ML,CPP Python,https://ya.cc/t/tOhZJEXdDmCzD,"Object Search Developer 🎞

Another opening in the Ontology Department. This team focuses on automated data collection and building a database of real-world objects: books, people, movies, music, etc. You'll be responsible for a variety of tasks, from connecting a new data source to our database to establishing correct relationships between objects and improving data quality.

We expect you to:
• Know Python and C++

What you'll be doing:
• Improve the object database build infrastructure
• Improve data quality
• Enhance data to create new opportunities for using object responses in various search scenarios

It would be a plus if you:
• Have experience in ML

https://ya.cc/t/tOhZJEXdDmCzD

#CPP #python"
Android developer at Yandex.Edu,🍔,"Yandex.Food is one of our flagship foodtech services. We strive to create the best foodtech product on the market, and to that end, we're looking for developers across various platforms to join our team. With us, you'll be able to build a vibrant service that your friends and family enjoy, and whose quality you'll be proud of.","• Kotlin development experience
• At least two years of mobile app development experience in Java
• Knowledge of the Android SDK
• Understanding of SOLID OOP principles, knowledge of MVP and MVI architectural approaches","• Develop and support the Yandex.Food mobile app
• Invent and implement new features
• Develop and document the project architecture
• Participate in API design","• Experience with RxJava 2, Dagger 2, and Retrofit libraries
• Knowledge of the MVVM architectural approach
• Ability to profile and optimize applications
• Ability to configure continuous integration and delivery (CI/CD)
• Experience writing automated tests
• Knowledge of Git",mobile Android Java,https://ya.cc/t/mzk0teo3DoYfY,"Android Developer at Yandex.Food🍔

Yandex.Food is one of our flagship foodtech services. We strive to create the best foodtech product on the market, and to that end, we're looking for developers for various platforms to join our team. With us, you'll be able to create a vibrant service that your friends and family use and whose quality you'll be proud of.

We expect you to have:
• Kotlin development experience
• At least two years of experience developing mobile applications in Java
• Knowledge of the Android SDK
• Understanding of SOLID OOP principles, knowledge of MVP and MVI architectural approaches

What you'll need to do:
• Develop and support the Yandex.Food mobile app
• Invent and implement new features
• Develop and document the project architecture
• Participate in API design

It would be a plus if you:
• Experience with RxJava 2, Dagger 2, and Retrofit libraries
• Knowledge of the MVVM architectural approach
• Ability to profile and optimize applications
• Ability to configure continuous integration and delivery (CI/CD)
• Experience writing automated tests
• Knowledge of Git

https://ya.cc/t/mzk0teo3DoYfY

#mobile #android #java"
ML developer at Video Hosting,📹,We're looking for a strong ML developer to help the Video Hosting team classify video content and develop a recommendation platform. The project's main advantage is that it doesn't use legacy code.,"• knowledge of C++ or Python
• experience in ML","• Develop user2item recommendations for display on the Yandex homepage, in Efir, and Station
• Develop item2item recommendations, which account for a significant share of Efir views
• Develop a thematic content classifier for advertising targeting
• Develop a recommendation platform",• experience in developing recommender systems,ml python CPP,https://ya.cc/t/ZOSMApGlDsVbM,"Machine Learning Developer at Video Hosting 📹

We're looking for a strong Machine Learning developer to help our Video Hosting team classify video content and develop a recommendation platform. The project's main advantage is that it doesn't have legacy code.

We expect you to have:
• Knowledge of C++ or Python
• Experience in Machine Learning

What you'll need to do:
• Develop user-to-item recommendations for display on the Yandex homepage, Efir, and Stantsiya
• Develop item-to-item recommendations, which account for a significant share of Efir views
• Develop a thematic content classifier for ad targeting
• Develop a recommendation platform

It would be a plus if you:
• Experience developing recommendation systems

https://ya.cc/t/ZOSMApGlDsVbM

#ml #python #CPP"
Python developer at Yandex.Q,👨,"‍

This position is for Pythonists and those ready to switch to Python from another programming language. Yandex.Q is a knowledge-sharing platform: millions of users create communities of interest, ask questions, and receive answers. The service is built on the foundation of TheQuestion and Yandex.Experts projects.

Q is considered part of Yandex's search portal, so you'll be able to use cutting-edge search technologies, run experiments on search computing power, and test hypotheses on vast amounts of data. You'll also have the opportunity to propose your ideas and influence the future of the service.","• know Python well and have worked with it (or know C++, Java, Go or C# and are ready to switch to Python)","• Design the service architecture and optimize the code
• Develop a high-load service
• Improve the stability and speed of the service","• experience in developing and designing high-load systems
• knowledge of SQL
• skills in working with relational databases",Python Q backend,https://ya.cc/t/fnaV-nKyDkX69,"Python Developer at Yandex.Q 👨

‍

This position is for Pythonists and those ready to switch to Python from another programming language. Yandex.Q is a knowledge-sharing platform: millions of users create communities of interest, ask questions, and receive answers. The service is built on the foundation of TheQuestion and Yandex.Znatoki projects.

Q is considered part of Yandex's search portal, so you'll be able to use cutting-edge search technologies, run experiments on search computing power, and test hypotheses on vast amounts of data. You'll also have the opportunity to propose your ideas and influence the future of the service.

We expect you to:
• have a good knowledge of Python and have worked with it (or know C++, Java, Go, or C# and are ready to switch to Python)

What you need to do:
• think through the service architecture and optimize code
• develop a high-load service
• improve service stability and speed

It will be a plus if you:
• experience developing and designing high-load systems
• knowledge of SQL
• skills in working with relational databases

https://ya.cc/t/fnaV-nKyDkX69

#backend #python #q"
Video processing infrastructure developer,📹,We are looking for a developer interested in exploring video technology and infrastructure development.,"• know C++, Java, and Go or are willing to learn them
• ​​know classical algorithms and data structures","• Optimize resource utilization
• Work to speed up signal delivery to the user
• Develop new services within the overall system
• Develop infrastructure for calculating content functions","• worked with NewSQL systems
• developed in Python
• designed distributed computing systems
• worked with relational databases
• worked with video formats and codecs
• know and apply design patterns",CPP java Go infrastructure,https://ya.cc/t/yJdZlP7zEBiY4,"Video Processing Infrastructure Developer 📹

We're looking for a developer interested in immersing themselves in video architecture and infrastructure development.

We expect you to:
• Know C++, Java, and Go, or be willing to learn them
• ​​Know classic algorithms and data structures

What you'll be doing:
• Optimize resource utilization
• Work on accelerating signal delivery to the user
• Build new services within the overall system
• Develop content function calculation infrastructure

It would be a plus if you:
• Worked with NewSQL systems
• Developed in Python
• Designed distributed computing systems
• Worked with relational databases
• Worked with video formats and codecs
• Know and apply design patterns

https://ya.cc/t/yJdZlP7zEBiY4

#infrastructure #CPP #java #Go"
